time,OB1_-25.0,OB1_-162.0,OB1_-326.0,OB2_-25.0,OB2_-50.0,OB2_-101.0,OB3_-25.0,OB3_-60.0,OB3_-121.0,OB4_-25.0,OB4_-99.0,OB4_-199.0,OB5_-25.0,OB5_-50.0,OB5_-73.0
34.13722002321,-4.178882296387405,-7.173923660192728,-15.10753652648016,-6.452943500858339,-6.482529584624428,-8.998508476607160,-14.30903230679510,-14.41144431087173,-16.24396918376967,-8.378418594751862,-11.81764907233076,-13.12375243825687,-8.102964569430313,-8.136896008649932,-13.76456330811124
71.68816204874,-4.190562726109728,-7.234927844570911,-15.32677929331456,-6.477826082441050,-6.508027806541402,-9.014195153391595,-14.46456116302018,-14.57475133793589,-16.30949041627674,-8.429676315698922,-11.98574955941692,-13.30667774106396,-8.103090920653823,-8.137029021589237,-13.76476038103042
112.9941982768,-4.210527090169805,-7.303394294065575,-15.46201888195925,-6.516043662501604,-6.546709822000687,-9.040088425925484,-14.63291741401904,-14.74535909397636,-16.39910732683447,-8.496126416299429,-12.09328738997797,-13.41629276331622,-8.103689076624168,-8.137643946249021,-13.76559429799666
158.4308381277,-4.238873199899761,-7.371829425451084,-15.56712323376635,-6.564285538244192,-6.595226665877981,-9.075356994137273,-14.79647881014315,-14.90878394728642,-16.50460468164112,-8.573702759778344,-12.18229408165670,-13.50424051564643,-8.105296615607683,-8.139282853578200,-13.76771976089633
208.4111419637,-4.275243944388578,-7.438032486347605,-15.65489865118978,-6.619143484391927,-6.650202582344920,-9.118476086030062,-14.94937837067845,-15.06067688409278,-16.61920554169894,-8.659019883102912,-12.26317581534856,-13.58046862856298,-8.108647435244293,-8.142680907824728,-13.77198235760381
263.3894761833,-4.319185054900887,-7.502460033786576,-15.73130254877683,-6.678008533943744,-6.709084647579212,-9.167830286518887,-15.09129628180719,-15.20141397027479,-16.73811428016637,-8.749265623378930,-12.33973209201349,-13.64991560529876,-8.114582012236461,-8.148675990071144,-13.77929974985675
323.8656438248,-4.370245050901720,-7.566338680935476,-15.79874954253083,-6.738979258227504,-6.770016460176119,-9.221865290083231,-15.22320273448783,-15.33216556592637,-16.85807103581661,-8.841997942253823,-12.41271661616996,-13.71397876968139,-8.123922016205958,-8.158084716301019,-13.79052720210686
390.3894282305,-4.428013067927704,-7.630977866837750,-15.86005488160126,-6.800890252246690,-6.831860856746923,-9.279337121565947,-15.34635431758633,-15.45424234028516,-16.97702637039780,-8.935408097658783,-12.48374366376146,-13.77549473740602,-8.137359656284824,-8.171592410165172,-13.80635402872780
463.5655910768,-4.492081969512090,-7.697240468791771,-15.91556772185580,-6.862891993250631,-6.893783430969305,-9.339199600109120,-15.46201279241809,-15.56892822997017,-17.09383867896303,-9.027826207275455,-12.55130463624891,-13.83268704126291,-8.155399737291743,-8.189698170517437,-13.82726168814728
544.0593702077,-4.561957754513061,-7.765620213063520,-15.96669010332022,-6.924575833425472,-6.955386826858931,-9.400727617650460,-15.57109469459590,-15.67711951735115,-17.20784987618012,-9.118161576860089,-12.61683937084276,-13.88808831087681,-8.178317531790912,-8.212672423418491,-13.85349886774785
632.6025272516,-4.637042772033789,-7.836282876113821,-16.01416361195972,-6.985609499297135,-7.016343462805060,-9.463327517386501,-15.67421706887397,-15.77942241350126,-17.31864661741262,-9.205470288119006,-12.67961033447763,-13.94087063799447,-8.206184359439114,-8.240584731424537,-13.88511242642491
730.0000000000,-4.716633738986888,-7.909251003739786,-16.05952270364843,-7.045743732914363,-7.076408667709178,-9.526522064579320,-15.77173744134374,-15.87618678483254,-17.42588657617115,-9.289109256952981,-12.73995435605390,-13.99180631763120,-8.238894521656146,-8.273330225792831,-13.92197368760576
